slug,tier,filename,pages,text_status,pdf_present,text_present,status
getting-an-investing-game-plan-creating-it-working-it-winning-it-wiley-2003,A,Getting An Investing Game Plan - Creating It Working It Winning It (Wiley - 2003).pdf,255,ok,True,True,needs_source_review
how-i-made-2-million-in-the-stock-market,A,How I Made 2 Million In The Stock Market.pdf,120,no_text,True,True,needs_source_review
hull-options-futures-and-other-derivative-securities-5th-ed,A,Hull-Options_ Futures And Other Derivative Securities_ 5Th Ed.pdf,756,no_text,True,True,needs_source_review
icwr-forex-trading-strategy,A,ICWR_Forex_Trading_Strategy.pdf,126,ok,True,True,needs_source_review
investmentpsychologyexplained,A,InvestmentPsychologyExplained.pdf,134,ok,True,True,needs_source_review
j-r-hill-g-pruitt-and-l-hill-the-ultimate-trading-guide,A,J R Hill G Pruitt And L Hill - The Ultimate Trading Guide.pdf,302,ok,True,True,needs_source_review
jack-schwager-guide-to-winning-with-automated-trading-systems-course-manual,A,Jack Schwager - Guide To Winning With Automated Trading Systems (Course Manual).pdf,95,no_text,True,True,needs_source_review
jake-bernstein-market-masters,A,Jake Bernstein - Market Masters.pdf,91,no_text,True,True,needs_source_review
jake-bernstein-trade-your-way-to-riches,A,Jake Bernstein - Trade Your Way To Riches.pdf,105,no_text,True,True,needs_source_review
jay-kaeppel-the-four-biggest-mistakes-in-futures-trading,A,Jay Kaeppel - The Four Biggest Mistakes In Futures Trading.pdf,123,ok,True,True,needs_source_review
jeff-cooper-intra-day-trading-strategies-proven-steps,A,"Jeff Cooper - Intra-Day Trading Strategies, Proven Steps.pdf",48,no_text,True,True,needs_source_review
joe-ross-trading-spreads-and-seasonals,A,Joe Ross - Trading Spreads And Seasonals.pdf,161,no_text,True,True,needs_source_review
joe-ross-trading-the-ross-hook,A,Joe Ross - Trading The Ross Hook.pdf,180,no_text,True,True,needs_source_review
john-bollinger-bollinger-on-bollinger-band,A,John Bollinger - Bollinger On Bollinger Band.pdf,264,ok,True,True,needs_source_review
john-j-murphy-charting-made-easy,A,John J Murphy - Charting Made Easy.pdf,82,ok,True,True,needs_source_review
john-mauldin-just-one-thing-twelve-of-the-world-s-best-investors-reveal-the-one-strategy-y,A,John Mauldin - Just_One_Thing_Twelve_Of_The_World_s_Best_Investors_Reveal_The_One_Strategy_You_Can_t_Overlook.pdf,273,ok,True,True,needs_source_review
john-piper-the-way-to-trade,A,John Piper - The Way To Trade.pdf,304,ok,True,True,needs_source_review
ken-wolff-2002-trading-on-momentum-advanced-techniques-for-high-percentage-day-trading,A,Ken Wolff - 2002 - Trading On Momentum Advanced Techniques For High Percentage Day Trading.pdf,288,ok,True,True,needs_source_review
kenneth-l-fisher-super-stocks,A,KENNETH L. FISHER - Super Stocks.pdf,289,ok,True,True,needs_source_review
kevin-hagerty-day-trading-course,A,Kevin Hagerty - Day Trading Course.pdf,66,no_text,True,True,needs_source_review
larry-williams-long-term-secrets-to-short-term-trading,A,Larry Williams - Long-Term Secrets To Short-Term Trading.pdf,254,ok,True,True,needs_source_review
larry-williams-the-secret-of-selecting-stocks-for-immediate-and-substantial-gains,A,Larry Williams - The Secret Of Selecting Stocks For Immediate And Substantial Gains.pdf,131,ok,True,True,needs_source_review
lawrence-g-mcmillan-profit-with-options,A,LAWRENCE G. McMILLAN - Profit With Options.pdf,286,ok,True,True,needs_source_review
leslie-n-masonson-all-about-market-timing,A,Leslie N Masonson - All About Market Timing.pdf,275,ok,True,True,needs_source_review
mark-b-fisher-the-logical-trader-applying-a-method-to-the-madness,A,"Mark B Fisher, - The Logical Trader. Applying A Method To The Madness.pdf",137,no_text,True,True,needs_source_review
marketneutralstrategies,A,Marketneutralstrategies.pdf,304,ok,True,True,needs_source_review
mathematicsmoneymanagement,A,MathematicsMoneyManagement.pdf,106,ok,True,True,needs_source_review
mcgraw-hill-the-options-edge-winning-the-volatility-game-with-options-on-futures,A,Mcgraw Hill - The Options Edge Winning The Volatility Game With Options On Futures.pdf,294,ok,True,True,needs_source_review
michael-covel-trend-following,A,Michael Covel - Trend Following.pdf,344,ok,True,True,needs_source_review
miner-robert-high-probability-trading-strategies-entry-to-exit-tactics-for-the-forex-futur,A,"Miner Robert - High Probability Trading Strategies Entry to Exit Tactics for the Forex, Futures, and Stock Markets.pdf",290,ok,True,True,needs_source_review
money-management-report-van-tharp,A,Money Management Report - Van Tharp.pdf,70,ok,True,True,needs_source_review
new-concepts-in-technical-trading-systems-welles-wilder,A,New Concepts in Technical Trading Systems (Welles Wilder).pdf,0,no_text,True,False,needs_source_review
oliver-velez-swing-trading-tactics,A,Oliver Velez - Swing Trading Tactics.pdf,87,ok,True,True,needs_source_review
options-essential-concepts-and-trading-strategies-2nd-edition,A,"Options Essential Concepts and Trading Strategies, 2nd Edition.pdf",449,no_text,True,True,needs_source_review
paul-wilmott-quantitative-finance,A,Paul Wilmott-Quantitative Finance.pdf,72,no_text,True,True,needs_source_review
perry-kaufman-smarter-trading,A,Perry Kaufman - Smarter Trading.pdf,257,no_text,True,True,needs_source_review
phantom-of-the-20-pits,A,Phantom of the 20 Pits.pdf,110,ok,True,True,needs_source_review
r-g-hagstrom-the-warren-buffett-way-2nd-edition,A,R G Hagstrom - The Warren Buffett Way  2nd Edition.pdf,268,ok,True,True,needs_source_review
rubinstein-mark-rubinstein-on-derivatives,A,Rubinstein_ Mark - Rubinstein on Derivatives.pdf,498,no_text,True,True,needs_source_review
streetsmart-guide-to-valuing-a-stock,A,Streetsmart Guide To Valuing A Stock.pdf,290,ok,True,True,needs_source_review
study-guide-for-entries-and-exits-visits-to-16-trading-rooms,A,Study Guide for Entries and Exits Visits to 16 Trading Rooms.pdf,176,no_text,True,True,needs_source_review
taleb-nassim-fooled-by-randomness,A,Taleb___Nassim_-_Fooled_by_Randomness.pdf,110,no_text,True,True,needs_source_review
the-complete-turtletrader-the-legend-the-lessons-the-results,A,"The Complete TurtleTrader - The Legend, the Lessons, the Results.pdf",269,ok,True,True,needs_source_review
trading-bollinger-john-bollinger-bands-done,A,[Trading] Bollinger_ John - Bollinger Bands (Done).pdf,11,ok,True,True,needs_source_review
turtlerules,A,turtlerules.pdf,37,ok,True,True,needs_source_review
walter-bressert-intraday-timing-for-low-risk-swing-trading,A,Walter Bressert - Intraday Timing For Low Risk Swing Trading.pdf,20,no_text,True,True,needs_source_review
wyckoff-richard-d-the-day-trader-s-bible-or-my-secret-in-day-trading-of-stocks-2,A,"Wyckoff, Richard D  - The Day Trader's Bible - Or My Secret In Day Trading Of Stocks_2.pdf",116,ok,True,True,needs_source_review
wyser-pratte-guy-risk-arbitrage,A,"Wyser-Pratte, Guy - Risk Arbitrage.pdf",305,ok,True,True,needs_source_review
1-the-mathematics-of-financial-derivatives,B,1 The Mathematics Of Financial Derivatives.pdf,338,no_text,True,True,needs_source_review
10-bankrupt,B,10__bankrupt.pdf,4,ok,True,True,needs_source_review
10-minute-guide-to-investing-in-stocks,B,10 Minute Guide To Investing In Stocks.pdf,248,ok,True,True,needs_source_review
10keystosuccess,B,10KeystoSuccess.pdf,24,ok,True,True,needs_source_review
15-minutestf,B,15 MinutesTF.pdf,2,ok,True,True,needs_source_review
17-money-making-candle-formations,B,17 Money Making Candle Formations.pdf,20,ok,True,True,reconcile_skip:duplicate
1fta-forex-trading-course,B,1fta Forex Trading Course.pdf,58,ok,True,True,needs_source_review
241forex,B,241FOREX.pdf,21,ok,True,True,needs_source_review
25-rules-of-millionaire-traders,B,25_Rules_of_Millionaire_Traders.pdf,5,ok,True,True,needs_source_review
25-rules-of-trading,B,25 rules of trading.pdf,6,ok,True,True,needs_source_review
50-per-day-trading-forex,B,50_Per_Day_Trading_Forex.pdf,44,ok,True,True,needs_source_review
7-habits-of-a-higly-sucsessfull-trader,B,7 Habits Of A Higly Sucsessfull Trader.pdf,31,ok,True,True,needs_source_review
a-new-interprtation-of-information-rate-kelly,B,a-new-interprtation-of-information-rate-kelly.pdf,10,ok,True,True,needs_source_review
a-realistic-and-effective-strategy-for-using-candlestick-sri-0032,B,A Realistic And Effective Strategy For Using Candlestick - SRI-0032.pdf,11,ok,True,True,needs_source_review
algora-myths-of-the-free-market-2003-isbn0875862233,B,"Algora, Myths Of The Free Market [2003 Isbn0875862233].pdf",277,ok,True,True,needs_source_review
alma-miranda-math-and-money,B,Alma Miranda - Math and Money.pdf,21,ok,True,True,needs_source_review
amazing-forex-system,B,Amazing Forex System.pdf,48,ok,True,True,needs_source_review
andrews-pitchfork,B,Andrews Pitchfork.pdf,2,ok,True,True,needs_source_review
andrews-scott-understanding-gaps,B,"Andrews, Scott - Understanding Gaps.pdf",61,ok,True,True,needs_source_review
anshumana-and-kalay-can-splits-create-market-liquidity-theory-and-evidence,B,Anshumana And Kalay-Can Splits Create Market Liquidity - Theory And Evidence.pdf,43,ok,True,True,needs_source_review
appendix1,B,Appendix1.pdf,4,ok,True,True,needs_source_review
article-arbitrage-pricing-theory,B,article - Arbitrage Pricing Theory.pdf,11,ok,True,True,needs_source_review
article-market-neutral-investing-long-short-hedge-fund-strategies-joseph-g-nicholas-2000,B,Article - Market-Neutral Investing - Long-Short Hedge Fund Strategies_ Joseph G Nicholas_ 2000.pdf,5,ok,True,True,needs_source_review
asset-pricing-with-speculative-trading,B,Asset Pricing With Speculative Trading.pdf,40,ok,True,True,needs_source_review
asset-valuation-allocation-models,B,Asset Valuation Allocation Models.pdf,28,ok,True,True,needs_source_review
atrainer-method,B,Atrainer Method.pdf,3,ok,True,True,needs_source_review
aust-vs-int-l-equity-portfolio-journal,B,Aust Vs Int'l Equity Portfolio Journal.pdf,4,ok,True,True,needs_source_review
automated-forex-ea,B,Automated Forex EA.pdf,2,ok,True,True,needs_source_review
avoiding-mistakes-in-forex-trading-forextrader,B,Avoiding Mistakes In Forex Trading -Forextrader.pdf,2,ok,True,True,needs_source_review
back-to-basics-historical-option-pricing-revisited,B,Back To Basics -- Historical Option Pricing Revisited.pdf,10,ok,True,True,needs_source_review
barbara-star-hidden-divergence,B,Barbara Star - Hidden Divergence.pdf,5,ok,True,True,needs_source_review
basic-financial-strategies,B,Basic Financial Strategies.pdf,1,ok,True,True,needs_source_review
basic-guide-to-understanding-elliot-wave,B,Basic_Guide_To_Understanding_Elliot_Wave.pdf,6,ok,True,True,needs_source_review
bass-financial-mathematics-2003-lecture-notes-series,B,Bass_Financial Mathematics (2003)(Lecture Notes Series).pdf,64,ok,True,True,needs_source_review
batfink-daily-range-a,B,Batfink Daily Range (A).pdf,16,ok,True,True,needs_source_review
bella-method,B,Bella Method.pdf,2,ok,True,True,needs_source_review
bessembinder-and-venkataraman-does-an-electronic-stock-exchange-need-an-upstairs-market,B,Bessembinder And Venkataraman-Does An Electronic Stock Exchange Need An Upstairs Market.pdf,43,ok,True,True,needs_source_review
big-ben-breakout,B,Big_Ben_Breakout.pdf,4,ok,True,True,needs_source_review
big-profit-patterns-using-candlestick-signals-and-gaps-stephen-w-bigalow,B,Big Profit Patterns Using Candlestick Signals And Gaps - Stephen W  Bigalow.pdf,51,ok,True,True,needs_source_review
bill-poulos-the-truth-about-fibonacci-trading,B,Bill Poulos The Truth About Fibonacci Trading.pdf,22,ok,True,True,needs_source_review
bollinger-band,B,bollinger_band.pdf,5,no_text,True,True,needs_source_review
bollinger-bandit-trading-strategy,B,Bollinger_Bandit_Trading_Strategy.pdf,4,ok,True,True,needs_source_review
bonus-thoughts-on-trading,B,bonus_thoughts_on_trading.pdf,2,ok,True,True,needs_source_review
boot-camp-papers-2,B,Boot Camp Papers 2.pdf,149,ok,True,True,needs_source_review
borsellino-lewis-2001-trading-es-and-nq-futures-course,B,Borsellino Lewis 2001 - Trading Es And Nq Futures Course.pdf,45,ok,True,True,needs_source_review
breakup-0-1,B,Breakup 0.1.pdf,1,ok,True,True,needs_source_review
brooks-and-kim-the-individual-investor-and-the-weekend-effect-a-reexamination-with-intrada,B,Brooks And Kim-The Individual Investor And The Weekend Effect - A Reexamination With Intraday Dat.pdf,13,ok,True,True,needs_source_review
cai-discretionary-risk-matrix,B,CAI discretionary risk matrix.pdf,2,ok,True,True,needs_source_review
camarilla-levels,B,Camarilla_Levels.pdf,4,ok,True,True,needs_source_review
candlestick-and-pattern-1,B,Candlestick_And_Pattern_1.pdf,49,ok,True,True,needs_source_review
candlestick-charting-explained,B,Candlestick-Charting-Explained.pdf,28,ok,True,True,needs_source_review
cci-manual,B,cci_manual.pdf,29,ok,True,True,needs_source_review
chan-chockalingam-and-lai-overnight-information-and-intraday-trading-behavior-evidence-fro,B,"Chan, Chockalingam And Lai-Overnight Information And Intraday Trading Behavior - Evidence From Ny.pdf",15,ok,True,True,needs_source_review
channeltrading,B,ChannelTrading.pdf,3,ok,True,True,needs_source_review
chart-formations,B,chart_formations.pdf,12,ok,True,True,needs_source_review
chart-patterns-and-technical-indicators,B,Chart_Patterns_and_technical_indicators.pdf,41,ok,True,True,needs_source_review
chart-patterns-tutorial,B,Chart_Patterns_Tutorial.pdf,14,ok,True,True,needs_source_review
choosing-a-trading-system-that-actually-works,B,Choosing A Trading System That Actually Works.pdf,5,ok,True,True,needs_source_review
chordia-roll-and-subrahmanyam-commonality-in-liquidity,B,"Chordia, Roll And Subrahmanyam -Commonality In Liquidity.pdf",26,ok,True,True,needs_source_review
chordia-roll-and-subrahmanyam-market-liquidity-and-trading-activity,B,"Chordia, Roll And Subrahmanyam -Market Liquidity And Trading Activity.pdf",30,ok,True,True,needs_source_review
client-expectations,B,Client Expectations.pdf,1,ok,True,True,needs_source_review
commodity-futures-trading-for-beginners,B,Commodity_Futures_Trading_For_Beginners.pdf,30,ok,True,True,needs_source_review
competition-between-exchanges-euronext-versus-xetra,B,Competition Between Exchanges Euronext Versus Xetra.pdf,29,ok,True,True,needs_source_review
congestion-markets-estimating-a-breakout-target,B,Congestion_Markets_-_Estimating_a_Breakout_Target.pdf,6,ok,True,True,needs_source_review
coreconcepts-automatedtrading,B,coreconcepts_automatedtrading.pdf,5,ok,True,True,needs_source_review
cornflower,B,Cornflower.pdf,2,ok,True,True,needs_source_review
cot,B,COT.pdf,5,ok,True,True,needs_source_review
credit-derivatives,B,Credit Derivatives.pdf,146,ok,True,True,needs_source_review
credit-risk-modeling-and-valuation-an-introduction,B,Credit Risk Modeling and Valuation_An Introduction.pdf,40,ok,True,True,needs_source_review
currency-trader0205,B,Currency_Trader0205.pdf,52,ok,True,True,needs_source_review
cutlosses,B,CutLosses.pdf,6,ok,True,True,needs_source_review
daily-open-sr-technique,B,Daily Open-SR Technique.pdf,3,ok,True,True,needs_source_review
david-c-stendahl-money-management-strategies-for-serious-traders,B,David C  Stendahl - Money Management Strategies For Serious Traders.pdf,46,ok,True,True,needs_source_review
daytrading-university-advanced-daytrading-two-day-seminar,B,Daytrading University - Advanced Daytrading Two-Day Seminar.pdf,31,ok,True,True,needs_source_review
daytrading-university-trading-course,B,Daytrading University Trading Course.pdf,0,no_text,True,False,needs_source_review
de-matos-and-fernandes-testing-the-markov-property-with-ultra-high-frequency-financial-dat,B,De Matos And Fernandes-Testing The Markov Property With Ultra-High Frequency Financial Data.pdf,24,ok,True,True,needs_source_review
demarchi-and-foucault-equity-trading-systems-in-europe-a-survey-of-recent-changes,B,Demarchi And Foucault-Equity Trading Systems In Europe - A Survey Of Recent Changes.pdf,54,ok,True,True,needs_source_review
derivatives-pricing-and-financial-modelling,B,Derivatives Pricing and Financial Modelling.pdf,3,ok,True,True,needs_source_review
deutsche-bank-asset-valuation-allocation-models-2001,B,Deutsche Bank - Asset Valuation Allocation Models 2001.pdf,28,ok,True,True,needs_source_review
divergence,B,Divergence.pdf,13,ok,True,True,needs_source_review
divergence-system,B,Divergence System.pdf,44,ok,True,True,needs_source_review
doestawork,B,DoesTAWork.pdf,3,ok,True,True,needs_source_review
donald-coxe-the-new-reality-of-wall-street,B,Donald Coxe - The New Reality Of Wall Street.pdf,290,ok,True,True,needs_source_review
doubletopsandbottoms,B,DoubleTopsAndBottoms.pdf,3,ok,True,True,needs_source_review
douglas-hubbard-the-failure-of-risk-management,B,Douglas Hubbard - The Failure of Risk Management.pdf,300,ok,True,True,needs_source_review
dow,B,Dow.pdf,27,ok,True,True,needs_source_review
e123system,B,E123system.pdf,24,ok,True,True,needs_source_review
ebook-finance-trading-ebook-stock-trading-system-sl4-confidential-proprietary,B,(eBook) - Finance - Trading ebook] Stock_Trading_System_SL4_Confidential_Proprietary.pdf,4,ok,True,True,needs_source_review
economics-how-the-stock-market-works,B,Economics - How The Stock Market Works.pdf,15,ok,True,True,needs_source_review
eday-trading-in-mind,B,Eday - Trading In Mind.pdf,17,ok,True,True,reconcile_skip:duplicate
edward-dobson-understanding-spreads,B,Edward Dobson - Understanding Spreads.pdf,42,ok,True,True,needs_source_review
electronic-trading-systems-in-europe-and-development-potentialities-for-russia,B,Electronic Trading Systems In Europe And Development Potentialities For Russia.pdf,29,ok,True,True,needs_source_review
eleswarapu-and-venkataraman-the-impact-of-legal-and-political-institutions-on-equity-tradi,B,Eleswarapu And Venkataraman-The Impact Of Legal And Political Institutions On Equity Trading Cost.pdf,26,ok,True,True,needs_source_review
eleswarapu-thompson-and-venkataraman-the-impact-of-regulation-fair-disclosure-trading-cost,B,"Eleswarapu, Thompson And Venkataraman-The Impact Of Regulation Fair Disclosure Trading Costs And .pdf",31,ok,True,True,needs_source_review
engle-and-lange-predicting-vnet-a-model-of-the-dynamics-of-market-depth,B,Engle And Lange-Predicting Vnet - A Model Of The Dynamics Of Market Depth.pdf,30,ok,True,True,needs_source_review
etheebookoftechnicalmarketindicators,B,Etheebookoftechnicalmarketindicators.pdf,49,ok,True,True,needs_source_review
evaluation-of-value-at-risk-models,B,Evaluation Of Value At Risk-Models.pdf,58,ok,True,True,needs_source_review
exchange-rules-for-the-frankfurt-stock-exchange,B,Exchange Rules For The Frankfurt Stock Exchange.pdf,61,ok,True,True,needs_source_review
exchange-traded-funds,B,Exchange-Traded-Funds.pdf,3,ok,True,True,needs_source_review
exploring-value-at-risk,B,Exploring_Value_at_Risk.pdf,10,ok,True,True,needs_source_review
ez-trade-forex,B,EZ Trade forex.pdf,67,ok,True,True,needs_source_review
fabozzi-2004-default-rates-on-structured-finance-securities,B,Fabozzi - 2004 - Default Rates on Structured Finance Securities.pdf,11,ok,True,True,needs_source_review
fairygoodtrader,B,FairyGoodTrader.pdf,29,ok,True,True,needs_source_review
fc-power-trading-course-forex-capital-markets-2003,B,Fc Power Trading Course -Forex Capital Markets- (2003).pdf,143,no_text,True,True,needs_source_review
fernando-commonality-in-liquidity-transmission-of-liquidity-shocks-across-investors-and-se,B,Fernando-Commonality In Liquidity-Transmission Of Liquidity Shocks Across Investors And Securitie.pdf,45,ok,True,True,needs_source_review
fi-lecture16-exotic-options-credit-derivatives,B,fi_lecture16_exotic_options_credit_derivatives.pdf,5,ok,True,True,needs_source_review
fibonaccimathinnature,B,FibonacciMathInNature.pdf,5,ok,True,True,needs_source_review
financial-market-trading-ebook-bollinger-john-a-cfa-cmt-market-master,B,[Financial Market Trading ebook] BOLLINGER John A. CFA_ CMT - Market Master.pdf,4,ok,True,True,needs_source_review
financial-times-series-tbx-ug,B,Financial_Times_Series_Tbx_UG.pdf,286,ok,True,True,needs_source_review
fine-tuning-your-money-management,B,fine-tuning-your-money-management.pdf,5,ok,True,True,needs_source_review
fixed-income-securities,B,fixed-income_securities.pdf,12,ok,True,True,needs_source_review
forex-education-seminar2,B,Forex_Education_seminar2.pdf,14,ok,True,True,needs_source_review
forex-for-everyone-learn-to-trade-the-forex-market-like-a-professional,B,Forex For Everyone - Learn To Trade The Forex Market Like A Professional.pdf,102,ok,True,True,reconcile_skip:no_text
forex-gladiator,B,Forex Gladiator.pdf,59,ok,True,True,needs_source_review
forex-intraday-pivots-trading-system-complete-system,B,Forex Intraday Pivots Trading System - Complete System.pdf,59,ok,True,True,needs_source_review
forex-manual-10-keys-to-successful-trading,B,FOREX Manual - 10 keys to successful trading.pdf,24,ok,True,True,needs_source_review
forex-manual-in-english,B,Forex Manual In English.pdf,141,ok,True,True,needs_source_review
forex-money-management,B,Forex-Money-Management.pdf,5,ok,True,True,needs_source_review
forex-mtpredictor-trading-course-part-1a,B,(FOREX) MTPredictor Trading Course - Part 1a.pdf,144,ok,True,True,needs_source_review
forex-nfa,B,forex-nfa.pdf,12,ok,True,True,needs_source_review
forex-report-predicting-price-movement,B,Forex Report - Predicting Price Movement.pdf,25,ok,True,True,needs_source_review
forex-report-when-totrade,B,Forex_Report_-_When_toTrade.pdf,6,ok,True,True,needs_source_review
forex-strategy,B,ForEx Strategy.pdf,11,ok,True,True,needs_source_review
forex-systems-research-practical-fibonacci-methods-for-forex-trading-2005,B,FOREX_Systems_Research_-_Practical_Fibonacci_Methods_For_Forex_Trading_2005.pdf,31,ok,True,True,needs_source_review
forex-trader-e-book,B,Forex_Trader_E-book.pdf,116,ok,True,True,needs_source_review
forex-trading-education,B,Forex Trading Education.pdf,2,ok,True,True,needs_source_review
forex-trading-is-challenging,B,Forex trading is Challenging.pdf,2,ok,True,True,needs_source_review
forex-trading-machine-ebook,B,Forex_Trading_Machine_eBook.pdf,184,ok,True,True,needs_source_review
forex-trading-with-candlestick-and-pattern-2,B,Forex_Trading_With_Candlestick_And_Pattern_2.pdf,33,ok,True,True,reconcile_skip:no_text
forexovereasy,B,Forexovereasy.pdf,2,ok,True,True,needs_source_review
foucault-and-kadan-limit-order-book-as-a-market-for-liquidity,B,Foucault And Kadan-Limit Order Book As A Market For Liquidity.pdf,59,ok,True,True,needs_source_review
foucault-and-lescourret-information-sharing-liquidity-and-transaction-costs-in-floor-based,B,"Foucault And Lescourret-Information Sharing, Liquidity And Transaction Costs In Floor-Based Tradi.pdf",43,ok,True,True,needs_source_review
foucault-kadan-and-kandel-limit-order-book-as-a-market-for-liquidity,B,"Foucault, Kadan And Kandel-Limit Order Book As A Market For Liquidity.pdf",65,ok,True,True,needs_source_review
fractal,B,fractal.pdf,171,ok,True,True,needs_source_review
fundamentalsoftradingplan,B,FundamentalsOfTradingPlan.pdf,3,ok,True,True,needs_source_review
fx-engines-predicting-price-action,B,FX Engines Predicting Price Action.pdf,25,ok,True,True,needs_source_review
fx-wizard,B,FX_Wizard.pdf,52,ok,True,True,needs_source_review
fxfutures,B,FXFutures.pdf,6,ok,True,True,needs_source_review
gann-w-d-1953-magic-words,B,"Gann, W.D. (1953)_Magic Words.pdf",91,ok,True,True,reconcile_skip:off_topic
general-observations-thoughts-on-trading-gbp,B,General_Observations___Thoughts_On_Trading_GBP.pdf,3,ok,True,True,needs_source_review
georgemuzea-the-vital-few-vs-the-trivial-many-invest-with-the-insiders-not-the-masses,B,GeorgeMuzea - The_Vital_Few_Vs_The_Trivial_Many_-_Invest_With_The_Insiders__Not_The_Masses_.pdf,227,ok,True,True,needs_source_review
gimmibar,B,gimmibar.pdf,5,ok,True,True,needs_source_review
giot-and-grammig-how-large-is-liquidity-risk-in-an-automated-auction-market,B,Giot And Grammig-How Large Is Liquidity Risk In An Automated Auction Market.pdf,32,ok,True,True,needs_source_review
giuciao-atspace-org-building-your-e-mini-trading-strategy,B,Giuciao Atspace Org-Building Your E-Mini Trading Strategy.pdf,121,ok,True,True,needs_source_review
glossary-of-forex-terms,B,Glossary-of-Forex-Terms.pdf,11,ok,True,True,needs_source_review
got-your-trading-style-figured-out,B,Got_Your_Trading_Style_Figured_Out.pdf,5,ok,True,True,needs_source_review
greatestmoneymakingsecret,B,GreatestMoneyMakingSecret.pdf,111,ok,True,True,reconcile_skip:off_topic
griffiths-turnbullb-and-white-re-examining-the-small-cap-myth-problems-in-portfolio-format,B,"Griffiths, Turnbullb And White-Re-Examining The Small-Cap Myth Problems In Portfolio Formation An.pdf",21,ok,True,True,needs_source_review
